  0.000,  0.948,  0.973,  0.982,  0.986,  0.989,  0.991,  0.992,  0.993,  0.994,  0.995,  0.995,  0.995,  0.996,  0.996,  0.996,  0.997
  0.948,  0.000,  0.487,  0.655,  0.740,  0.791,  0.826,  0.850,  0.869,  0.883,  0.895,  0.905,  0.912,  0.919,  0.925,  0.930,  0.934
  0.973,  0.487,  0.000,  0.327,  0.493,  0.593,  0.661,  0.709,  0.745,  0.773,  0.796,  0.814,  0.830,  0.843,  0.854,  0.864,  0.872
  0.982,  0.655,  0.327,  0.000,  0.247,  0.396,  0.495,  0.567,  0.621,  0.663,  0.696,  0.724,  0.747,  0.766,  0.783,  0.797,  0.810
  0.986,  0.740,  0.493,  0.247,  0.000,  0.198,  0.330,  0.425,  0.497,  0.552,  0.597,  0.633,  0.664,  0.689,  0.711,  0.731,  0.747
  0.989,  0.791,  0.593,  0.396,  0.198,  0.000,  0.165,  0.283,  0.372,  0.442,  0.497,  0.543,  0.581,  0.613,  0.640,  0.664,  0.685
  0.991,  0.826,  0.661,  0.495,  0.330,  0.165,  0.000,  0.142,  0.248,  0.331,  0.398,  0.452,  0.498,  0.536,  0.569,  0.598,  0.623
  0.992,  0.850,  0.709,  0.567,  0.425,  0.283,  0.142,  0.000,  0.124,  0.221,  0.298,  0.362,  0.415,  0.460,  0.498,  0.531,  0.561
  0.993,  0.869,  0.745,  0.621,  0.497,  0.372,  0.248,  0.124,  0.000,  0.110,  0.199,  0.271,  0.332,  0.383,  0.427,  0.465,  0.498
  0.994,  0.883,  0.773,  0.663,  0.552,  0.442,  0.331,  0.221,  0.110,  0.000,  0.099,  0.181,  0.249,  0.306,  0.356,  0.399,  0.436
  0.995,  0.895,  0.796,  0.696,  0.597,  0.497,  0.398,  0.298,  0.199,  0.099,  0.000,  0.090,  0.166,  0.230,  0.285,  0.332,  0.374
  0.995,  0.905,  0.814,  0.724,  0.633,  0.543,  0.452,  0.362,  0.271,  0.181,  0.090,  0.000,  0.083,  0.153,  0.213,  0.266,  0.311
  0.995,  0.912,  0.830,  0.747,  0.664,  0.581,  0.498,  0.415,  0.332,  0.249,  0.166,  0.083,  0.000,  0.077,  0.142,  0.199,  0.249
  0.996,  0.919,  0.843,  0.766,  0.689,  0.613,  0.536,  0.460,  0.383,  0.306,  0.230,  0.153,  0.077,  0.000,  0.071,  0.133,  0.187
  0.996,  0.925,  0.854,  0.783,  0.711,  0.640,  0.569,  0.498,  0.427,  0.356,  0.285,  0.213,  0.142,  0.071,  0.000,  0.066,  0.125
  0.996,  0.930,  0.864,  0.797,  0.731,  0.664,  0.598,  0.531,  0.465,  0.399,  0.332,  0.266,  0.199,  0.133,  0.066,  0.000,  0.062
  0.997,  0.934,  0.872,  0.810,  0.747,  0.685,  0.623,  0.561,  0.498,  0.436,  0.374,  0.311,  0.249,  0.187,  0.125,  0.062,  0.000
